,signal_exposure,ex_ante_ann_volatility,concentration_hhi,effective_positions,max_weight,realized_ann_return,realized_ann_volatility,sharpe_ratio,max_drawdown,total_return
naive_signal,0.9490811307047857,0.08592100473152554,0.18318400607870097,5.458991870558678,0.22758386236586656,0.08670569189405852,0.08592100473152556,1.0091326581315576,-0.11368840019334892,0.18092926079494442
rank_based,0.9503133603004713,0.08834360272577835,0.20000000000000004,4.999999999999999,0.2,0.10328452122385667,0.08834360272577836,1.1691228118062544,-0.11835427580993685,0.21723673477215488
risk_aware,1.0663248554323532,0.09985309101842933,0.24999999999999858,4.000000000000023,0.24999999999999956,0.09027833860724033,0.09985309101842935,0.9041116072268423,-0.14222903283174937,0.18870685563616418
